,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2011-01-26,24.71,24.75,24.88,24.1,1078933,0.0,4.59,45.59,7.75,1.14
1,2011-01-27,24.74,24.92,25.08,24.53,895155,0.0,2.22,0.69,0.17,0.94
2,2011-01-28,24.88,24.01,24.88,23.75,1043121,0.0,4.53,-3.65,-0.91,1.1
3,2011-01-31,24.05,24.1,24.12,23.5,829812,0.0,2.58,0.37,0.09,0.87
4,2011-02-01,24.31,23.91,24.73,23.54,707791,0.0,4.94,-0.79,-0.19,0.75
5,2011-02-02,24.16,23.94,24.18,23.66,569472,0.0,2.17,0.13,0.03,0.6
6,2011-02-03,23.82,23.63,23.9,23.15,509017,0.0,3.13,-1.29,-0.31,0.54
7,2011-02-04,23.44,23.46,23.67,23.22,543617,0.0,1.9,-0.72,-0.17,0.57
8,2011-02-07,23.26,23.07,23.26,22.88,895011,0.0,1.62,-1.66,-0.39,0.94
9,2011-02-08,23.78,24.49,25.25,23.0,3504583,0.0,9.75,6.16,1.42,3.69
10,2011-02-09,24.13,23.21,24.18,22.79,2633662,0.0,5.68,-5.23,-1.28,2.77
11,2011-02-10,23.26,23.21,23.64,22.81,818220,0.0,3.58,0.0,0.0,0.86
12,2011-02-11,23.25,23.25,23.75,22.94,634472,0.0,3.49,0.17,0.04,0.67
13,2011-02-14,23.64,23.08,24.14,23.05,1280993,0.0,4.69,-0.73,-0.17,1.35
14,2011-03-25,22.43,22.75,23.0,22.4,567922,0.0,2.6,-1.43,-0.33,0.6
15,2011-03-28,22.7,23.25,23.53,22.55,1057268,0.0,4.31,2.2,0.5,1.11
16,2011-03-29,23.3,23.92,24.0,23.21,753291,0.0,3.4,2.88,0.67,0.79
17,2011-03-30,24.11,23.71,24.49,23.01,1218561,0.0,6.19,-0.88,-0.21,1.28
18,2011-03-31,26.55,27.75,28.71,26.5,11283081,0.0,9.32,17.04,4.04,11.81
19,2011-04-01,27.45,26.66,28.18,26.57,2864205,0.0,5.8,-3.93,-1.09,3.0
20,2011-04-04,26.83,25.83,27.0,25.23,2607605,0.0,6.64,-3.11,-0.83,2.73
21,2011-04-05,25.9,26.7,27.0,25.69,3149476,0.0,5.07,3.37,0.87,3.3
22,2011-04-06,26.99,26.49,27.01,25.8,1278747,0.0,4.53,-0.79,-0.21,1.34
23,2011-04-07,26.85,27.24,27.94,26.45,2807716,0.0,5.62,2.83,0.75,2.94
24,2011-04-08,27.58,26.49,27.6,26.36,1943572,0.0,4.55,-2.75,-0.75,2.03
25,2011-04-11,26.47,25.27,26.53,25.02,1368850,0.0,5.7,-4.61,-1.22,1.43
26,2011-04-12,25.08,24.65,25.21,24.3,1356601,0.0,3.6,-2.45,-0.62,1.42
27,2011-04-13,25.13,24.93,25.69,24.81,1209894,0.0,3.57,1.14,0.28,1.27
